Instruction Pointer Relative Addressing (for position independent code), 2008-03-03, Julia Wolf, Exploit|Julia Wolf|Assembly|Amd64|64-bit|Shellcode, https://www.fireeye.com/blog/threat-research/2008/03/instruction-poi.html, 1_instruction-poi.txt
Rootkits - making malware more powerful - part 1, 2008-03-18, FireEye, FireEye|Rootkits, https://www.fireeye.com/blog/threat-research/2008/03/rootkits-maki.html, 2_rootkits-maki.txt
Rootkits - making malware more powerful - part 2, 2008-03-26, FireEye, FireEye|Advanced Malware|Rootkits, https://www.fireeye.com/blog/threat-research/2008/03/rootkits-ma-1.html, 3_rootkits-ma-1.txt
Kraken Botnet - A detailed analysis, 2008-04-17, Atif Mushtaq, , https://www.fireeye.com/blog/threat-research/2008/04/kraken-botnet-1.html, 4_kraken-botnet-1.txt
Storm Codec or Storm's new Trap..., 2008-04-22, Atif Mushtaq, Botnet|Storm Codec|Tibs|Storm|Nuwar, https://www.fireeye.com/blog/threat-research/2008/04/storm-botnet-is.html, 5_storm-botnet-is.txt
Srizbi and Rustock: Family Feud or Sibling Rivalry?, 2008-08-17, Atif Mushtaq, , https://www.fireeye.com/blog/threat-research/2008/08/srizbi-and-rust.html, 6_srizbi-and-rust.txt
Srizbi and Rustock: Family Feud or Sibling Rivalry? Part II, 2008-08-22, Atif Mushtaq, FireEye|Common Bond|Srizbi|Rustock|Rivals|Botnets, https://www.fireeye.com/blog/threat-research/2008/08/srizbi-and-ru-1.html, 7_srizbi-and-ru-1.txt
Srizbi phishes Capital One customers, 2008-08-28, Alex Lanstein, , https://www.fireeye.com/blog/threat-research/2008/08/srizbi-phishes.html, 8_srizbi-phishes.txt
Srizbi actively stealing data, 2008-08-29, Atif Mushtaq, Papras|Capital One Bank|Stealing|Srizbi|Banknorth.|Phishing, https://www.fireeye.com/blog/threat-research/2008/08/srizbi-alongwit.html, 9_srizbi-alongwit.txt
New Axis of Evil – Storm Pushdo and Trojan.Exchanger, 2008-09-18, Alex Lanstein, , https://www.fireeye.com/blog/threat-research/2008/09/new-axis-of-evi.html, 10_new-axis-of-evi.txt
Silent Storm or Silence before the Storm..., 2008-10-19, Alex Lanstein, , https://www.fireeye.com/blog/threat-research/2008/10/storm-just-befo.html, 11_storm-just-befo.txt
Rogue.AntiVirus2009 hosted by McColo, 2008-10-26, Alex Lanstein, Mccolo, https://www.fireeye.com/blog/threat-research/2008/10/rougeantivirus2009-hosted-by-mccolo.html, 12_rougeantivirus2009-hosted-by-mccolo.txt
More on McColo and Rogues, 2008-10-28, Alex Lanstein, Antivirus2009|Xpantivirus, https://www.fireeye.com/blog/threat-research/2008/10/more-on-mccolo-and-rogues.html, 13_more-on-mccolo-and-rogues.txt
