Malware Calendar Wallpaper for February 2011 [updated], 2011-01-31, unknown, History of Malware, https://securelist.com/malware-calendar-wallpaper-for-february-2011-updated/29640/, malware-calendar-wallpaper-for-february-2011-updated
Spam report: December 2010, 2011-01-27, unknown, Spam Letters|Spam Statistics|Spammer techniques, https://securelist.com/spam-report-december-2010/36340/, spam-report-december-2010
Pirate episodes scam, 2011-01-26, unknown, Adware|Phishing websites|Social engineering, https://securelist.com/pirate-episodes-scam/29822/, pirate-episodes-scam
Malicious ads through ICQ, 2011-01-25, unknown, Instant Messengers, https://securelist.com/malicious-ads-through-icq/29814/, malicious-ads-through-icq
The smart screensaver, 2011-01-25, unknown, Malware Statistics|Vulnerability Statistics, https://securelist.com/the-smart-screensaver/29639/, the-smart-screensaver
TDSS. TDL-4, 2011-01-25, unknown, Malware Descriptions|MBR|Rootkits|TDSS|x64, https://securelist.com/tdss-tdl-4/36339/, tdss-tdl-4
New Twitter worm redirects to Fake AV, 2011-01-20, unknown, Rogue Security Solutions|Social networks|Vulnerabilities and exploits|Worm, https://securelist.com/new-twitter-worm-redirects-to-fake-av/29813/, new-twitter-worm-redirects-to-fake-av
Internal needs on the black market, 2011-01-17, unknown, Cybercrime|Malware Statistics|Money Mule|Thematic spam|ZeuS, https://securelist.com/internal-needs-on-the-black-market/29812/, internal-needs-on-the-black-market
A keygen with a twist, 2011-01-14, unknown, Social engineering|Trojan, https://securelist.com/a-keygen-with-a-twist/29637/, a-keygen-with-a-twist
Mistyping leads to infections!, 2011-01-14, unknown, Fake AV|Microsoft Windows|Phishing websites|Ransomware, https://securelist.com/mistyping-leads-to-infections/29811/, mistyping-leads-to-infections
Your personal data in the wrong hands, 2011-01-13, unknown, Data leaks, https://securelist.com/your-personal-data-in-the-wrong-hands/29810/, your-personal-data-in-the-wrong-hands
Techfest Mumbai 2011, 2011-01-11, unknown, Conferences|Exhibitions|Trainings, https://securelist.com/techfest-mumbai-2011/33190/, techfest-mumbai-2011
A few words about the HLux botnet, 2011-01-05, unknown, Botnets|Microsoft Windows|Spammer techniques, https://securelist.com/a-few-words-about-the-hlux-botnet/29806/, a-few-words-about-the-hlux-botnet
New P2P Botnet Arising, 2011-01-03, unknown, Botnets, https://securelist.com/new-p2p-botnet-arising/29805/, new-p2p-botnet-arising
Monthly Malware Statistics December 2010, 2011-01-03, unknown, Malware Statistics, https://securelist.com/monthly-malware-statistics-december-2010/36338/, monthly-malware-statistics-december-2010
Malware Calendar Wallpaper for March 2011, 2011-02-28, unknown, History of Malware, https://securelist.com/malware-calendar-wallpaper-for-march-2011/29643/, malware-calendar-wallpaper-for-march-2011
ZeuS in the Mobile is back, 2011-02-25, unknown, Financial malware|Internet Banking|Mobile Malware|ZeuS, https://securelist.com/zeus-in-the-mobile-is-back/29830/, zeus-in-the-mobile-is-back
Checking for infections with the Bohu trojan, 2011-02-23, unknown, Antivirus Technologies|Malware Technologies|Trojan, https://securelist.com/checking-for-infections-with-the-bohu-trojan/29831/, checking-for-infections-with-the-bohu-trojan
No comment, 2011-02-22, unknown, Targeted attacks|Trojan-Spy, https://securelist.com/no-comment/67245/, no-comment
Spam report: January 2011, 2011-02-22, unknown, Spam Statistics|Spammer techniques, https://securelist.com/spam-report-january-2011/36347/, spam-report-january-2011
Cybercrime Outlook 2020 From Kaspersky Lab, 2011-02-21, unknown, Malware Technologies, https://securelist.com/cybercrime-outlook-2020-from-kaspersky-lab/36348/, cybercrime-outlook-2020-from-kaspersky-lab
Where am I?, 2011-02-21, unknown, Social networks|Targeted attacks, https://securelist.com/where-am-i/29829/, where-am-i
Pentagon for sale, 2011-02-17, unknown, Spam Letters, https://securelist.com/pentagon-for-sale/29642/, pentagon-for-sale
The Tip of the Iceberg, 2011-02-17, unknown, Data leaks|Social engineering|Targeted attacks|Website Hacks, https://securelist.com/the-tip-of-the-iceberg/29828/, the-tip-of-the-iceberg
Kaspersky Security Bulletin. Malware Evolution 2010, 2011-02-17, unknown, Cybercrime|Digital Certificates|Malware Classification|Malware Statistics|Malware Technologies|Mobile Malware|Rogue Security Solutions|Social networks|Spyware|Stuxnet|Targeted attacks|TDSS|Trojan|Vulnerability Statistics, https://securelist.com/kaspersky-security-bulletin-malware-evolution-2010/36343/, kaspersky-security-bulletin-malware-evolution-2010
Kaspersky Security Bulletin 2010. Statistics 2010, 2011-02-17, unknown, Internal Threats Statistics|Malware Statistics|Vulnerability Statistics, https://securelist.com/kaspersky-security-bulletin-2010-statistics-2010/36345/, kaspersky-security-bulletin-2010-statistics-2010
Kaspersky Security Bulletin. Spam Evolution 2010, 2011-02-17, unknown, Spam Letters|Spam Statistics|Spammer techniques, https://securelist.com/kaspersky-security-bulletin-spam-evolution-2010/36346/, kaspersky-security-bulletin-spam-evolution-2010
WiFi + Airport = Lost password, 2011-02-12, unknown, Data Encryption|Data leaks|Identity Theft|Wi-Fi, https://securelist.com/wifi-airport-lost-password/29827/, wifi-airport-lost-password
Exploit Kits – A Different View, 2011-02-10, unknown, , https://securelist.com/exploit-kits-a-different-view/36342/, exploit-kits-a-different-view
The dark side of the new Android Market, 2011-02-03, unknown, Google Android|Mobile security, https://securelist.com/the-dark-side-of-the-new-android-market/29824/, the-dark-side-of-the-new-android-market
Monthly Malware Statistics January 2011,  2011-02-03,  unknown,  Malware Statistics,  https://securelist.com/monthly-malware-statistics-january-2011/36341/, monthly-malware-statistics-january-2011
Facebook scams becoming increasingly multilingual, 2011-03-31, unknown, Social engineering|Social networks|Spammer techniques, https://securelist.com/facebook-scams-becoming-increasingly-multilingual/29785/, facebook-scams-becoming-increasingly-multilingual
A Short Sharp Shock for Spam,  2011-03-31,  unknown,  Spam and the law,  https://securelist.com/a-short-sharp-shock-for-spam/36351/, a-short-sharp-shock-for-spam
A Web of (Mis)Trust – Comodogate Part II, 2011-03-30, unknown, Data Encryption|DNS|Google|Vulnerabilities and exploits, https://securelist.com/a-web-of-mistrust-comodogate-part-ii/29786/, a-web-of-mistrust-comodogate-part-ii
New webcast – The Truth about Malware and Linux, 2011-03-30, unknown, Linux, https://securelist.com/new-webcast-the-truth-about-malware-and-linux/29652/, new-webcast-the-truth-about-malware-and-linux
Malvertizing Continued – Spotify’s Ad Networks Outed, 2011-03-26, unknown, Adobe|Adobe PDF|Exploit Kits|Java|Malvertizing|Microsoft|Oracle, https://securelist.com/malvertizing-continued-spotifys-ad-networks-outed/29782/, malvertizing-continued-spotifys-ad-networks-outed
Ransomware: GPCode strikes back, 2011-03-26, unknown, Gpcode|Ransomware, https://securelist.com/ransomware-gpcode-strikes-back/29784/, ransomware-gpcode-strikes-back
Japan Quake Malware Again, 2011-03-25, unknown, Social engineering|Spammer techniques|Thematic phishing|Trojan, https://securelist.com/japan-quake-malware-again/29783/, japan-quake-malware-again
Ransomware: Fake Federal German Police (BKA) notice, 2011-03-24, unknown, Ransomware, https://securelist.com/ransomware-fake-federal-german-police-bka-notice/29781/, ransomware-fake-federal-german-police-bka-notice
Lab Matters – The State of Spam, 2011-03-24, unknown, Botnets|Spam and the law|Spam Statistics, https://securelist.com/lab-matters-the-state-of-spam/29651/, lab-matters-the-state-of-spam
SCADA exploits circulating, 2011-03-23, unknown, Industrial control systems|Scada|Stuxnet|Vulnerabilities and exploits, https://securelist.com/scada-exploits-circulating/29778/, scada-exploits-circulating
A Web of (Mis)Trust?, 2011-03-23, unknown, Data Encryption|Digital Certificates|DNS|Google|Vulnerabilities and exploits, https://securelist.com/a-web-of-mistrust/29777/, a-web-of-mistrust
Scammers pounce on news of Elizabeth Taylor’s death, 2011-03-23, unknown, Social engineering|Social networks|Spammer techniques, https://securelist.com/scammers-pounce-on-news-of-elizabeth-taylors-death/29776/, scammers-pounce-on-news-of-elizabeth-taylors-death
Twitter – Malware through time, 2011-03-23, unknown, Social networks, https://securelist.com/twitter-malware-through-time/29775/, twitter-malware-through-time
The decline and fall of Slammer?, 2011-03-23, unknown, History of Malware|Vulnerabilities and exploits, https://securelist.com/the-decline-and-fall-of-slammer/29650/, the-decline-and-fall-of-slammer
Adobe Fix for CVE-2011-0609, 2011-03-22, unknown, Adobe|Adobe Flash|Google|Vulnerabilities and exploits, https://securelist.com/adobe-fix-for-cve-2011-0609/29772/, adobe-fix-for-cve-2011-0609
Apple’s silent updates, 2011-03-22, unknown, Antivirus Technologies|Apple MacOS, https://securelist.com/apples-silent-updates/29774/, apples-silent-updates
Royal spam, 2011-04-29, unknown, Social engineering|Spam Letters, https://securelist.com/royal-spam/29664/, royal-spam
Playstation data for sale?, 2011-04-29, unknown, Gaming Consoles|Sony, https://securelist.com/playstation-data-for-sale/29799/, playstation-data-for-sale
Malware Calendar Wallpaper for May 2011, 2011-04-29, unknown, History of Malware, https://securelist.com/malware-calendar-wallpaper-for-may-2011/29797/, malware-calendar-wallpaper-for-may-2011
Royal Wedding or Royal hunt, 2011-04-29, unknown, Adobe PDF|Firefox|Microsoft Internet Explorer|Microsoft Windows|Search engines|Social engineering|Vulnerabilities and exploits, https://securelist.com/royal-wedding-or-royal-hunt/29798/, royal-wedding-or-royal-hunt
A long time ago…, 2011-04-28, unknown, Fake AV|Fraud|Mobile Malware, https://securelist.com/a-long-time-ago/29796/, a-long-time-ago
The Japan crisis – an IT security timeline, 2011-04-28, unknown, Cybercrime|Facebook|Fraud|Search engines|Social engineering|Social networks|Spam Letters, https://securelist.com/the-japan-crisis-an-it-security-timeline/35965/, the-japan-crisis-an-it-security-timeline
Playstation data gets pwned, 2011-04-27, unknown, Gaming Consoles, https://securelist.com/playstation-data-gets-pwned/29795/, playstation-data-gets-pwned
Lab Matters – The Underground Economy and Ecosystem of the SMS-based cybercrime, 2011-04-27, unknown, Mobile Malware, https://securelist.com/lab-matters-the-underground-economy-and-ecosystem-of-the-sms-based-cybercrime/29663/, lab-matters-the-underground-economy-and-ecosystem-of-the-sms-based-cybercrime
Workshop: Cyber Crime and the Law, 2011-04-26, unknown, Conferences|Cybercrime Legislation|Identity Theft|Malware Creators, https://securelist.com/workshop-cyber-crime-and-the-law/29793/, workshop-cyber-crime-and-the-law
‘Nigerian’ spam from Egypt and Libya, 2011-04-22, unknown, Fraud|Nigerian Spam, https://securelist.com/nigerian-spam-from-egypt-and-libya/29661/, nigerian-spam-from-egypt-and-libya
Lab Matters – Dissecting the Banking Malware Problem, 2011-04-20, unknown, Internet Banking|Targeted attacks, https://securelist.com/lab-matters-dissecting-the-banking-malware-problem/29660/, lab-matters-dissecting-the-banking-malware-problem
The ‘Advertising’ Botnet, 2011-04-20, unknown, advertising networks|Adware|Botnets|Malware Descriptions|Malware Statistics|Obfuscation|Trojan, https://securelist.com/the-advertising-botnet/35962/, the-advertising-botnet
InfoSecurity Europe 2011, 2011-04-19, unknown, Security conference, https://securelist.com/infosecurity-europe-2011/29659/, infosecurity-europe-2011
Spam report: March 2011, 2011-04-19, unknown, Spam Statistics, https://securelist.com/spam-report-march-2011/35961/, spam-report-march-2011
Infiltrate 2011 and Offensive Security, 2011-04-18, unknown, Conferences|Exploit Kits|Google|Google Android|Linux|Microsoft|Microsoft Windows|Proof-of-Concept|Trainings|Vulnerabilities and exploits|Zero-day vulnerabilities, https://securelist.com/infiltrate-2011-and-offensive-security/29792/, infiltrate-2011-and-offensive-security
Rotted Core Removed, 2011-04-14, unknown, Data leaks|Microsoft|Spyware|Vulnerabilities and exploits, https://securelist.com/rotted-core-removed/29791/, rotted-core-removed
Shirahama Symposium 2011, 2011-05-31, unknown, Cloud Computing|Conferences, https://securelist.com/shirahama-symposium-2011/30839/, shirahama-symposium-2011
Democratic Party of Hong Kong Website Compromised and Serving Spyware, 2011-05-30, unknown, Adobe Flash|Browser Plugins|Firefox|Microsoft Internet Explorer|Microsoft Windows|Spyware|Targeted attacks|Vulnerabilities and exploits|Website Hacks|Zero-day vulnerabilities, https://securelist.com/democratic-party-of-hong-kong-website-compromised-and-serving-spyware/30644/, democratic-party-of-hong-kong-website-compromised-and-serving-spyware
MAX++ sets its sights on x64 platforms, 2011-05-24, unknown, Exploit Kits|Rootkits|Trojan Clicker|Trojan-Dropper|Vulnerabilities and exploits, https://securelist.com/max-sets-its-sights-on-x64-platforms/29672/, max-sets-its-sights-on-x64-platforms
Fake virustotal website propagated java worm, 2011-05-24, unknown, Botnets|DDoS-attacks|Drive-by attack|JavaScript|Phishing websites|Security Websites, https://securelist.com/fake-virustotal-website-propagated-java-worm/30622/, fake-virustotal-website-propagated-java-worm
Mobile Malware Evolution: An Overview Part 4,  2011-05-22,  unknown,  Apple iOS|Financial malware|Google Android|Malware Descriptions|Malware Statistics|Malware Technologies|Mobile Malware|SMS Trojan,  https://securelist.com/mobile-malware-evolution-an-overview-part-4/36350/, mobile-malware-evolution-an-overview-part-4
“You sh0t the sheriff”, 2011-05-20, unknown, Conferences, https://securelist.com/you-sh0t-the-sheriff/30643/, you-sh0t-the-sheriff
Rootkit Banker – now also to 64-bit, 2011-05-20, unknown, Brazil|Digital Certificates|Drive-by attack|Internet Banking|Rootkits|Trojan Banker|Trojan-Dropper|x64, https://securelist.com/rootkit-banker-now-also-to-64-bit/29853/, rootkit-banker-now-also-to-64-bit
Hack in The Box Security Conference 2011 Amsterdam / NL, 2011-05-20, unknown, Conferences|Exhibitions|Malware Miscellany|Malware Technologies|Mobile Malware|Non-Windows Malware|Proof-of-Concept|Security Websites|Trainings|Vulnerabilities and exploits|Zero-day vulnerabilities, https://securelist.com/hack-in-the-box-security-conference-2011-amsterdam-nl/30830/, hack-in-the-box-security-conference-2011-amsterdam-nl
Smart money?, 2011-05-20, unknown, Cybercrime|Electronic Payments, https://securelist.com/smart-money/30640/, smart-money
Spam report: April 2011, 2011-05-19, unknown, Spam Letters|Spam Statistics, https://securelist.com/spam-report-april-2011/35982/, spam-report-april-2011
Facebook stalker application now localized, 2011-05-19, unknown, Facebook|JavaScript|Malware|Social networks, https://securelist.com/facebook-stalker-application-now-localized/29671/, facebook-stalker-application-now-localized
Facebook profile: No it doesn’t work!,  2011-05-18,  unknown,  Facebook|Twitter, https://securelist.com/facebook-profile-no-it-doesnt-work-2/30639/, facebook-profile-no-it-doesnt-work-2
IT Threat Evolution for Q1-2011, 2011-05-18, unknown, Botnets|Malware Statistics|Mobile Malware|Scada|Targeted attacks|Trojan|Vulnerability Statistics, https://securelist.com/it-threat-evolution-for-q1-2011/35979/, it-threat-evolution-for-q1-2011
Lab Matters – Travel Tips: Stay Secure on the Road, 2011-05-18, unknown, Data Encryption|Data leaks, https://securelist.com/lab-matters-travel-tips-stay-secure-on-the-road/29669/, lab-matters-travel-tips-stay-secure-on-the-road
Return of the Playstation Network, 2011-05-17, unknown, Gaming Consoles|Sony, https://securelist.com/return-of-the-playstation-network/30638/, return-of-the-playstation-network
Mac Protector: Register your copy now! Part 2, 2011-05-16, unknown, Apple|Apple MacOS|Non-Windows Malware|Rogue Security Solutions, https://securelist.com/mac-protector-register-your-copy-now-part-2/30637/, mac-protector-register-your-copy-now-part-2
Malware Calendar Wallpaper for July 2011, 2011-06-30, unknown, History of Malware, https://securelist.com/malware-calendar-wallpaper-for-july-2011-2/29145/, malware-calendar-wallpaper-for-july-2011-2
Tracking bugs in Zeus campaigns, 2011-06-29, unknown, Financial malware|Malicious spam|Russian-speaking cybercrime|Vulnerabilities and exploits|ZeuS, https://securelist.com/tracking-bugs-in-zeus-campaigns/29141/, tracking-bugs-in-zeus-campaigns
Keyloggers: Implementing keyloggers in Windows. Part Two, 2011-06-29, unknown, Antivirus Technologies|Spyware, https://securelist.com/keyloggers-implementing-keyloggers-in-windows-part-two/36358/, keyloggers-implementing-keyloggers-in-windows-part-two
Yet another phishing attack – Tumblr users being targeted, 2011-06-28, unknown, Passwords|Social engineering|Social networks, https://securelist.com/yet-another-phishing-attack-tumblr-users-being-targeted/29125/, yet-another-phishing-attack-tumblr-users-being-targeted
Gold rush, 2011-06-28, unknown, Bitcoin|Botnets|Miner|Trojan, https://securelist.com/gold-rush/30848/, gold-rush
TDL4 – Top Bot, 2011-06-27, unknown, Botnets|Encryption|Malware Descriptions|Malware Statistics|Rootkits|TDSS, https://securelist.com/tdl4-top-bot/36152/, tdl4-top-bot
IM worm targeting Brazilian Facebook users, 2011-06-22, unknown, Brazil|Facebook|Instant Messengers|Social networks|Worm, https://securelist.com/im-worm-targeting-brazilian-facebook-users/29128/, im-worm-targeting-brazilian-facebook-users
Spam in May 2011, 2011-06-21, unknown, Spam Statistics, https://securelist.com/spam-in-may-2011/36310/, spam-in-may-2011
S.A.P.Z. Botnet new perspective of attack,  2011-06-15,  unknown,  Botnets|Credit Cards|DDoS-attacks|Passwords|Targeted attacks,  https://securelist.com/s-a-p-z-botnet-new-perspective-of-attack/30652/, s-a-p-z-botnet-new-perspective-of-attack
Patch Tuesday June 2011, 2011-06-14, unknown, Adobe|Adobe Flash|Google|Google Android|Linux|Microsoft|Microsoft Internet Explorer|Microsoft Windows|Patch Tuesday|SunOS / Solaris|Vulnerabilities and exploits, https://securelist.com/patch-tuesday-june-2011/30654/, patch-tuesday-june-2011
The rise of targeted attacks, 2011-06-14, unknown, Targeted attacks, https://securelist.com/the-rise-of-targeted-attacks/29678/, the-rise-of-targeted-attacks
Porn SMS senders: round the globe, 2011-06-13, unknown, Fraud|Google Android|Mobile Malware|SMS Trojan, https://securelist.com/porn-sms-senders-round-the-globe/30650/, porn-sms-senders-round-the-globe
Phishing in the clouds, 2011-06-10, unknown, Cloud Computing|Phishing|Spammer techniques, https://securelist.com/phishing-in-the-clouds/29677/, phishing-in-the-clouds
Dangerous whitespaces, 2011-06-09, unknown, PHP|Trojan|Website Hacks, https://securelist.com/dangerous-whitespaces/30648/, dangerous-whitespaces
Monthly Malware Statistics May 2011,  2011-06-06,  unknown,  Apple MacOS|Brazil|Hackers|Malware Statistics|Rogue Security Solutions|Trojan|Trojan Banker,  https://securelist.com/monthly-malware-statistics-may-2011/31991/, monthly-malware-statistics-may-2011
Financial data stealing Malware now on Amazon Web Services Cloud, 2011-06-05, unknown, Amazon|Identity Theft|Instant Messengers|Internet Banking|Malware Technologies|Rootkits|Trojan Banker, https://securelist.com/financial-data-stealing-malware-now-on-amazon-web-services-cloud/30647/, financial-data-stealing-malware-now-on-amazon-web-services-cloud
