Network Attack Trends: Internet of Threats, 2021-01-22, Yue Guan, Unit 42|Cybercrime|DDoS|exploits|IoT|malware|vulnerabilities, https://unit42.paloaltonetworks.com/network-attack-trends-internet-threats/, 0_network-attack-trends-internet-threats.txt
Wireshark Tutorial: Examining Emotet Infection Traffic, 2021-01-19, Brad Duncan, Unit 42|Wireshark Tutorial, https://unit42.paloaltonetworks.com/wireshark-tutorial-emotet-infection/, 1_wireshark-tutorial-emotet-infection.txt
Open Source Tool Release: Gaining Novel AWS Access With EBS Direct APIs, 2021-01-12, Michael Bailey, Unit 42|AWS|Cloud|Tool, https://unit42.paloaltonetworks.com/aws-ebs-direct-apis/, 2_aws-ebs-direct-apis.txt
xHunt Campaign: New BumbleBee Webshell and SSH Tunnels Used for Lateral Movement, 2021-01-11, Robert Falcone, Unit 42|BumbleBee|remote desktop|webshell|xHunt, https://unit42.paloaltonetworks.com/bumblebee-webshell-xhunt-campaign/, 3_bumblebee-webshell-xhunt-campaign.txt
TA551: Email Attack Campaign Switches from Valak to IcedID, 2021-01-07, Brad Duncan, Unit 42|IcedID|malware|Shathak|TA551|Ursnif|Valak, https://unit42.paloaltonetworks.com/ta551-shathak-icedid/, 4_ta551-shathak-icedid.txt
The History of DNS Vulnerabilities and the Cloud, 2020-12-28, Daniel Prizmant, Unit 42|DNS|vulnerabilities, https://unit42.paloaltonetworks.com/dns-vulnerabilities/, 5_dns-vulnerabilities.txt
SolarStorm Supply Chain Attack Timeline, 2020-12-23, Unit 42, Unit 42|malware|software supply-chain attack|SolarStorm|SolarWinds|SUPERNOVA|supply-chain attack|vulnerability, https://unit42.paloaltonetworks.com/solarstorm-supply-chain-attack-timeline/, 6_solarstorm-supply-chain-attack-timeline.txt
Protecting Against an Unfixed Kubernetes Man-in-the-Middle Vulnerability (CVE-2020-8554), 2020-12-21, Yuval Avrahami, Cloud|Unit 42|CVE-2020-8554|Kubernetes|Prisma Cloud|vulnerability, https://unit42.paloaltonetworks.com/cve-2020-8554/, 7_cve-2020-8554.txt
SUPERNOVA: A Novel .NET Webshell, 2020-12-17, Matt Tennis, Unit 42|FireEye breach|SUPERNOVA, https://unit42.paloaltonetworks.com/solarstorm-supernova/, 8_solarstorm-supernova.txt
PyMICROPSIA: New Information-Stealing Trojan from AridViper, 2020-12-14, Unit 42, Unit 42|AridViper|information stealer|malware|MICROPSIA|Trojan, https://unit42.paloaltonetworks.com/pymicropsia/, 9_pymicropsia.txt
Threat Brief: FireEye Red Team Tool Breach, 2020-12-10, Unit 42, Unit 42|FireEye breach|threat brief, https://unit42.paloaltonetworks.com/fireeye-red-team-tool-breach/, 10_fireeye-red-team-tool-breach.txt
PGMiner: New Cryptocurrency Mining Botnet Delivered via PostgreSQL, 2020-12-10, Xiao Zhang, Unit 42|coin miner|coin mining|cryptojacking|exploit|malware|PostgreSQL|vulnerability, https://unit42.paloaltonetworks.com/pgminer-postgresql-cryptocurrency-mining-botnet/, 11_pgminer-postgresql-cryptocurrency-mining-botnet.txt
Threat Brief: VMware Command Injection Vulnerability (CVE-2020-4006), 2020-12-09, Shawn Westfall, Unit 42|CVE-2020-4006|vulnerability, https://unit42.paloaltonetworks.com/cve-2020-4006/, 12_cve-2020-4006.txt
njRAT Spreading Through Active Pastebin Command and Control Tunnel, 2020-12-09, Yanhui Jia, Unit 42|C2|command and control|Cybercrime|evasion|exploit|malware|NJRat|Pastebin, https://unit42.paloaltonetworks.com/njrat-pastebin-command-and-control/, 13_njrat-pastebin-command-and-control.txt
Threat Assessment: Egregor Ransomware, 2020-12-08, Doel Santos, Unit 42|egregor|ransomware|threat assessment, https://unit42.paloaltonetworks.com/egregor-ransomware-courses-of-action/, 14_egregor-ransomware-courses-of-action.txt
Exploitation of Windows RDP Vulnerability CVE-2019-0708 (BlueKeep): Get RCE with System Privilege Using Refresh Rect PDU and RDPDR Client Name Request PDU, 2020-12-07, Tao Yan, Unit 42|Bluekeep|CVE-2019-0708|RDP|Remote Code Exectution, https://unit42.paloaltonetworks.com/cve-2019-0708-bluekeep/, 15_cve-2019-0708-bluekeep.txt
Android Apps Leaking Sensitive Data Found on Google Play With 6 Million U.S. Downloads, 2020-11-24, Stefan Achleitner, Unit 42|Android|Cybercrime|privacy, https://unit42.paloaltonetworks.com/android-apps-data-leakage/, 16_android-apps-data-leakage.txt
IAMFinder: Open Source Tool to Identify Information Leaked from AWS IAM Reconnaissance, 2020-11-19, Jay Chen, Unit 42|AWS|Cloud|IAM|IAMFinder|public cloud, https://unit42.paloaltonetworks.com/iamfinder/, 17_iamfinder.txt
Information Leakage in AWS Resource-Based Policy APIs, 2020-11-17, Jay Chen, Unit 42|AWS|Cloud|IAM|public cloud, https://unit42.paloaltonetworks.com/aws-resource-based-policy-apis/, 18_aws-resource-based-policy-apis.txt
A Closer Look at the Web Skimmer, 2020-11-09, Jin Chen, Unit 42|Cybercrime|Formjacking Attack|malware|web skimmer, https://unit42.paloaltonetworks.com/web-skimmer/, 19_web-skimmer.txt
xHunt Campaign: Newly Discovered Backdoors Using Deleted Email Drafts and DNS Tunneling for Command and Control, 2020-11-09, Robert Falcone, Unit 42|backdoor|C2|CASHY200|dns tunneling|Snugy|TriFive|xHunt, https://unit42.paloaltonetworks.com/xhunt-campaign-backdoors/, 20_xhunt-campaign-backdoors.txt
When Threat Actors Fly Under the Radar: Vatet PyXie and Defray777, 2020-11-06, Ryan Tracey, Unit 42|Defray777|malware|PyXie|ransomware|Vatet, https://unit42.paloaltonetworks.com/vatet-pyxie-defray777/, 21_vatet-pyxie-defray777.txt
Windows XP Server 2003 Source Code Leak Leaves IoT OT Devices Vulnerable, 2020-11-06, Jun Du, Unit 42|IoT|vulnerability|Windows Server|Windows XP, https://unit42.paloaltonetworks.com/windows-xp-server-2003-source-code-leak/, 22_windows-xp-server-2003-source-code-leak.txt
Threat Assessment: Ryuk Ransomware and Trickbot Targeting U.S. Healthcare and Public Health Sector, 2020-10-29, Brittany Barbehenn, Unit 42|BazaLoader|joint cybersecurity alert|malware|ransomware|Ryuk|threat assessment|Trickbot, https://unit42.paloaltonetworks.com/ryuk-ransomware/, 23_ryuk-ransomware.txt
Domain Parking: A Gateway to Attackers Spreading Emotet and Impersonating McAfee, 2020-10-29, Ruian Duan, Unit 42|cybersquatting|domain parking|malware, https://unit42.paloaltonetworks.com/domain-parking/, 24_domain-parking.txt
Risks in IoT Supply Chain, 2020-10-26, Anna Chung, Unit 42|IoT, https://unit42.paloaltonetworks.com/iot-supply-chain/, 25_iot-supply-chain.txt
Wireshark Tutorial: Examining Dridex Infection Traffic, 2020-10-23, Brad Duncan, Unit 42|Dridex|pcap|tutorial|Wireshark|Wireshark Tutorial, https://unit42.paloaltonetworks.com/wireshark-tutorial-dridex-infection-traffic/, 26_wireshark-tutorial-dridex-infection-traffic.txt
Threat Brief: Microsoft Vulnerability CVE-2020-16898, 2020-10-14, Mike Harbison, Unit 42|Bad Neighbor|CVE-2020-16898, https://unit42.paloaltonetworks.com/cve-2020-16898/, 27_cve-2020-16898.txt
Two New IoT Vulnerabilities Identified with Mirai Payloads, 2020-10-14, Ken Hsu, Unit 42|IoT|Mirai|vulnerability, https://unit42.paloaltonetworks.com/iot-vulnerabilities-mirai-payloads/, 28_iot-vulnerabilities-mirai-payloads.txt
CVE-2020-14386: Privilege Escalation Vulnerability in the Linux kernel, 2020-10-09, Or Cohen, Unit 42|CVE-2020-14386|Linux|privilege escalation|vulnerability, https://unit42.paloaltonetworks.com/cve-2020-14386/, 29_cve-2020-14386.txt
Unit 42 Cloud Threat Report: Misconfigured IAM Roles Lead to Thousands of Compromised Cloud Workloads, 2020-10-08, Jay Chen, Unit 42|AWS|Cloud|Cloud Threat Report|IAM|public cloud, https://unit42.paloaltonetworks.com/iam-roles-compromised-workloads/, 30_iam-roles-compromised-workloads.txt
Unit 42 Cloud Threat Report: CSP Findings on Logging Encryption and Exposed Services, 2020-10-07, Nathaniel Quist, Unit 42|AWS|Cloud|Cloud Threat Report|IAM|public cloud, https://unit42.paloaltonetworks.com/cloud-threat-report-csp-findings-iam/, 31_cloud-threat-report-csp-findings-iam.txt
Highlights from the Unit 42 Cloud Threat Report 2H 2020, 2020-10-06, Unit 42, Unit 42|AWS|Cloud|Cloud Threat Report|IAM|public cloud, https://unit42.paloaltonetworks.com/highlight-cloud-threat-report-iam/, 32_highlight-cloud-threat-report-iam.txt
Black-T: New Cryptojacking Variant from TeamTnT, 2020-10-05, Nathaniel Quist, Unit 42|AWS credential stealing|Cloud|Crytojacking|exposed Docker Daemon API|memory password scraping|TeamTnT, https://unit42.paloaltonetworks.com/black-t-cryptojacking-variant/, 33_black-t-cryptojacking-variant.txt
Unit 42 Discovers 27 New Vulnerabilities Across Microsoft Products, 2020-10-02, John Harrison, Unit 42|microsoft|Microsoft Security Response Center|Microsoft Security Response Center (MSRC)|privilege escalation|Remote Code Exectution|vulnerabilities, https://unit42.paloaltonetworks.com/27-new-vulnerabilities-across-microsoft-products/, 34_27-new-vulnerabilities-across-microsoft-products.txt
Top Alexa Sites Infected With Malicious Coinminers and Web Skimmer, 2020-10-01, Taojie Wang, Unit 42|Coinhive|Cryptocurrency|Cybercrime|JSEcoin, https://unit42.paloaltonetworks.com/malicious-coinminers-web-skimmer/, 35_malicious-coinminers-web-skimmer.txt
Case Study: Emotet Thread Hijacking an Email Attack Technique, 2020-09-23, Brad Duncan, Unit 42|botnet|cyber crime|Emotet|malware|mealybug|TA542, https://unit42.paloaltonetworks.com/emotet-thread-hijacking/, 36_emotet-thread-hijacking.txt
